,sentence,aspect,sentiment
906,even their virgin mohito was not gud then the food was also okish staff were also not courteous i find the place was overcrowded ,quality,Negative
907,even their virgin mohito was not gud then the food was also okish staff were also not courteous i find the place was overcrowded ,service,Negative
908,it seemed they have allowed stag entries and they were passing cheap comment on us i will never recommend anyone here ,service,Negative
909,worst food completely spoiledddd cannot eat wasted completely,quality,Negative
910,the taste was not yet good it s was too oil in biryani and while we are asking to the manager he said that it was ghee no proper response from them ,quality,Negative
911,the taste was not yet good it s was too oil in biryani and while we are asking to the manager he said that it was ghee no proper response from them ,service,Negative
912,not worth it ,other,Negative
913,i have ordered lichi shake with risens add on but didn t add any risens and lichi shake contain barely any lichi in it ,service,Negative
914,the starters came after 30 min n we always need to remind and followup for serving and its not worth for wait as its tasteless ,quality,Negative
915,the starters came after 30 min n we always need to remind and followup for serving and its not worth for wait as its tasteless ,service,Negative
916,the drink served is like a coughsyrup with a medicinal smell ,quality,Negative
917,there is absolutely nothing to dine even at chinese side ,other,Negative
918,dessert section is something you will not feel to have it ,quality,Negative
919,order no  14001414   you did not deliver my food and cancelled it without notifying me please refund my money worst customer experience ,service,Negative
920,this is not a place to express hate but today i went their for a lunch it was a downer we got the empty buffet counters and plates pasta counter is closed too early and all i felt shame in front of my guest poor guest management and service even you can see in photo my plate was empty even after the beer came on the table i never prefer for a party over their but sugeest you its a nice place to have beer and have some snacks as a bar siting on the bar counter  the beer over their was awesome give only mark for the beer                 ,service,Negative
921,cake was stale,quality,Negative
922,worst food ever i had,quality,Negative
923,cold food and poor service sums it all ,quality,Negative
924,cold food and poor service sums it all ,service,Negative
925,food was worst and it came with a strong smell of oil ,quality,Negative
926,chilly garlic noodle did not have any garlic  not even the flavour ,quality,Negative
927,all the items were really not eatable ,quality,Negative
928,they charged money for ketchup but they didn t provide any ketchup without ketchup how people can eat gobi manchuria and onion lemon are also not provided so no taste,quality,Negative
929,they charged money for ketchup but they didn t provide any ketchup without ketchup how people can eat gobi manchuria and onion lemon are also not provided so no taste,service,Negative
930,late delivery cold food,service,Negative
931,very poor servicing ,service,Negative
932,no communication from the restraunt even after 90 minutes of ordering the food ,service,Negative
933,very disappointed ,other,Negative
934,we booked for 40 people for an office party and it was a complete chaos ,service,Negative
935,firstly  they had not planned properly to manage 40 plus people ,service,Negative
936,some people who arrived first got the privilege of getting welcome drink and i arrived 10 mins late  and simply didn t get it ,service,Negative
937,for starters also  some privileged ones got served with only few of the varieties as per the menu ,service,Negative
938,our of frustration  people started with main course and in between starters were being served ,service,Negative
939,the complete team of 40 was disappointed ,other,Negative
940,i have order veg sizzler but and they served me the non veg sizzler ,service,Negative
941,the server was rude  unpolite and refused to accept his mistakes and even manager to the same extent ,service,Negative
942,there is no proper communication between chef and server ,service,Negative
943,it was worst experience in my life as i am a pure vegeterian ,other,Negative
944,i would recommend not to visit this place ,other,Negative
945,i wish i could make you taste the chicken nuggets ,quality,Negative
946,but  i never had such worst food in my entire life ,quality,Negative
947,the dip they gave with french fries was one of a kind i personally would not suggest this place to anyone ,quality,Negative
948,maggy was disaster,quality,Negative
949,liked the ambience  though ,environment,Positive
950,we ordered sea food bamboo rice and it tasted worse    rotten smell from the rice made me sick   ,quality,Negative
951,these two were ok,quality,Positive
952,food taste isn t good and the staff behaviour is the major let down ,quality,Negative
953,food taste isn t good and the staff behaviour is the major let down ,service,Negative
954,they fight and argue with you to give more tips ,service,Negative
955,very disappointing ,other,Negative
956,never ever experienced it ,other,Negative
957,the gravy were very dilute every time we order it is thick this time i ordered more quantity and received it thinner ,quality,Negative
958,but live cockroach came out of the food for the second time ,quality,Negative
959,although we booked our table  the suitable table couldnt be found for us ,service,Negative
960,we ordered j germeister and baileys but we had nuts for the prices 375 and 450  see the portion  ,price,Negative
961,ok i understand that prices are fluctuates  but we didn t know that we paid for this little shots ,price,Negative
962,these drinks serves with proper glass with ices  bigger portions  this is charging ,price,Negative
963,will never visit this place again ,other,Negative
964,i heard haleem will be so good  etc etc but taste is not that great as others said ,quality,Negative
965,i ordered chicken 65 from this restaurant on 19th feb 2019  the quality of the food was not good  i had vomitings immediately after having the food  ,quality,Negative
966,worst chicken biryani ever had in hyderabad till now no salt  less chicken pieces no taste nothing even road side stall who sell biryani in 60 rs   provide 100 times better biryani than this,quality,Negative
967,dont ever order from this place ,other,Negative
968,they serve tasteless raw chicken with no remorse and no reaction ,quality,Negative
969,worst restaurant of gachibowli  ,quality,Negative
970,nobody s even attended us for more than 5 min  no courtesy of giving menu card even ,service,Negative
971,when we spoke the same to manager  he himself is rude telling that it will take 5 to 10 min for the waiter s to attend ,service,Negative
972,rude manager and worst service  ,service,Negative
973,the food did not taste good and the service was also late ,quality,Negative
974,the food did not taste good and the service was also late ,service,Negative
975,felt it was not worth for the money spend ,price,Negative
976,this is such a over rated stupid place ,other,Negative
977,food was very bad  service too ,quality,Negative
978,food was very bad  service too ,service,Negative
979,menu is an ocean and taste is nill ,quality,Negative
980,i dont think they will survive over time  quality has come down soo bad ,quality,Negative
981,the mild mushroom soup was too bland and they don t serve a 1 2 of the soup ,quality,Negative
982,the mild mushroom soup was too bland and they don t serve a 1 2 of the soup ,service,Negative
983,the red rooster pizza just didn t have any taste to it ,quality,Negative
984,gachibowli fried chicken was a disaster ,quality,Negative
985,the regular water they served had dust floating on it  had to get bottled water ,quality,Negative
986,would never go to this place again ,other,Negative
987,won t recommend to anyone either ,other,Negative
988,the prices are on the higher side and they are just not worth it ,price,Negative
989,the donuts were not fresh ,quality,Negative
990,waste of money ,other,Negative
991,what is the point in having fancy packaging with bad quality food ,quality,Negative
992,what is the point in having fancy packaging with bad quality food ,service,Positive
993,worst ,other,Negative
994,please stop selling chole bhature,other,Negative
995,one of the worst service ever i recieved today ,service,Negative
996,i contacted the lal street they told me about the happy hours menu and after going there tha menu has been totally changed i  e  from 1 1 to 99 and i didnt like this and worst ever service,service,Negative
997,very very disappointed ,other,Negative
998,had been there for a sunday brunch and experienced a worst and slow service ,service,Negative
999,the food is below average ,quality,Negative
1000,nothing organised and well maintained ,service,Negative
1001,the managers are the worst in collage restaurant  very unmannered and impolite ,service,Negative
1002,many of the dishes nameplates are mismatched ,service,Negative
1003,the brunch prices don t match the zomato prices ,price,Negative
1004,pathetic experience ,other,Negative
1005,i will not order from this restaurant ever again ,other,Negative
1006,it is overrated casual chinese food  with lot of oil ,quality,Negative
1007,flat noodles very oily ,quality,Negative
1008,thread chicken was oily ,quality,Negative
1009,the captain manager denied us axis bank card discount because it was not told before ,service,Negative
1010,quantity is too much and they charged more than what was mentioned in the menu ,quality,Positive
1011,one star is for the thread chicken starter  oily  fried  ,quality,Negative
1012,service   good food  very bad  no taste at all  i had buffet  there is no serving on table for starters and there r only two veg starter and two non veg but taste is not at all good ,quality,Negative
1013,service   good food  very bad  no taste at all  i had buffet  there is no serving on table for starters and there r only two veg starter and two non veg but taste is not at all good ,service,Positive
1014,was so bland and tasteless for the price ,price,Negative
1015,was so bland and tasteless for the price ,quality,Negative
1016,it smelled weird too ,quality,Negative
1017,i somehow felt street food would have been much better and cost effective,price,Negative
1018,pathetic customer service ,service,Negative
1019,why the hell you can t clarify all your nonsense rules over call,service,Negative
1020,i ordered tandoori full no quantity no packaging no taste waste of food ,quality,Negative
1021,delivery late from restaurant to zomato delivery boy ,service,Negative
1022,the service is hopeless ,service,Negative
1023,they won t even serve water for the costumers unless you ask them ,service,Negative
1024,and the manager is also helpless and rude if the costumers complaint ,service,Negative
1025,first and last visit to this restaurant  ,other,Negative
1026,the puris were fat and oily ,quality,Negative
1027,the alu curry was more like hing asafoetida  curry and had to dig through the gravy for choley ,quality,Negative
1028,our breakfast was definitely spoiled ,quality,Negative
1029,i really had to search for the rajmas in the gravy ,quality,Negative
1030,at first accepted the order  but after waiting for 45mins they have declined the order ,service,Negative
1031,least bothered to respond to the calls ,service,Negative
1032,switched off the mobile ,service,Negative
1033,we have ordered mutton biryani and it had dead flies in it   we thought it fell into the biryani bowl while adding rice into it   but when my husband thoroughly checked the whole biryani we could easily see 3 within 3 minutes ,quality,Negative
1034,very less quantity and food taste also not gud,quality,Negative
1035,not as regular  no choco sticks are there  not satisfied  lose of money,quality,Negative
1036,i ordered paratha and kulchas from here yesterday night and out of 3   2 were burnt  ,quality,Negative
1037,taste was horrible  ,quality,Negative
1038,and when we complained in zomato chat they gave 27 credit points    as if that makes up for everything  ,service,Negative
1039,horrible service by being hungry and zomato  ,service,Negative
1040,they don t take their customers seriously at all  ,service,Negative
1041,will never ever order from this place again nor will my friends order from here again ,other,Negative
1042,bucket beers are either served in ice bucket or at least bar tender ask customers to check it is chilled ,service,Negative
1043,we were surprised to find it almost equal to room temp ,quality,Negative
1044,and the irritating part was when the waiter behaved as if its too normal to serve such beer ,service,Negative
1045,eating it all i can say if it s ur best then your worst is not for humans ,quality,Negative
1046,next we ordered crispy corn not to surprise us crispy part was completely missing and masala added on top of it was enough to burn ur taste bud ,quality,Negative
1047,very slow service  food was very cold and tasteless ,quality,Negative
1048,very slow service  food was very cold and tasteless ,service,Negative
1049,tables were not cleaned properly ,service,Negative
1050,not worth going again ,other,Negative
1051,chicken inside the shawarma got spoiled and smelling too   once opened it and was smelling spoiled   before ordering only i thought they might use left off chicken as this is afternoon time   ,quality,Negative
1052,but due to the trust on shah ghouse ordered it   and initially shawarma quality use to be very good and now full of mayonnaise and and no dry fruits added to it  ,quality,Negative
1053,i last order i thought it was by mistake he forgot but even yesterday i ordered shawarma and he repeated the same   food quality in shah ghouse getting bad day by day,quality,Negative
1054,i received my life times worst ever noodles from here    got a smell and taste like it is burnt over coal   though it has been two days since i tasted   my buds still remember the taste ,quality,Negative
1055,hate that and no response from zomato for the complaint even now ,service,Negative
1056,i don t prefer to order or have something from this place again ,other,Negative
1057,the ambience maybe good  but the service is too bad ,environment,Positive
1058,the ambience maybe good  but the service is too bad ,service,Negative
1059,the worst is the suggestions from the manager  who suggested us to have a rice item along with the dishes we ordered ,service,Negative
1060,moreover despite of showing the zomato gold coupon the code was not added and even after having such a bad experience and complaining about the food  they added an extra service charge to the final bill ,service,Negative
1061,both of us are very dissapointed ,quality,Negative
1062,a big no no to this place ,quality,Negative
1063,over pricy  but buffet spread has very less items ,quality,Negative
1064,very much disappointed and the food was not even hot,quality,Negative
1065,they just cancelled the order after an hour ,service,Negative
1066,had a very bad first experience of the restaurant,other,Negative
1067,when we enquire they say that sandwich is a starter  lol    and even the starters look like prepared for breakfast and served for lunch  ,service,Negative
1068,would never ever recommend this place for buffet  ,other,Negative
1069,worst experience ,other,Negative
1070,food worst taste and please dont order from here as well as from zomato ,quality,Negative
1071,i orderd double egg and double chicken maggie  but they kept half egg and the taste is worst worst worst,quality,Negative
1072,i orderd double egg and double chicken maggie  but they kept half egg and the taste is worst worst worst,service,Negative
1073,the stuffing was less and the prantha was not soft  it was heavy in quantity and very hard ,quality,Negative
1074,no taste in stuffing  no salt no spice ,quality,Negative
1075,what i liked from the triptify is the packaging   ,service,Positive
1076,over fried french fries ,quality,Negative
1077,spicy pasta despite asking for no spice ,service,Negative
1078,no manager on site to complain ,service,Negative
1079,worst packing milk shake is leaked to outside ,service,Negative
1080,worst experience ever  mandi lovers please avoid visiting this place to avoid huge disappointment  post office hours visited the place to have mandi  ambience was below average  there were no customers in the restaurant  we ordered 3 mandis  which has arrived after 30 minutes and the rice was cold and not tasty at all  the meat served was so tough  waste of money  not at all worth  please donot visit this place by seeing 4 2 stars in zomato profile  we will never go back to this place again ,quality,Negative
1081,worst experience ever  mandi lovers please avoid visiting this place to avoid huge disappointment  post office hours visited the place to have mandi  ambience was below average  there were no customers in the restaurant  we ordered 3 mandis  which has arrived after 30 minutes and the rice was cold and not tasty at all  the meat served was so tough  waste of money  not at all worth  please donot visit this place by seeing 4 2 stars in zomato profile  we will never go back to this place again ,environment,Negative
1082,won t recommend this place ,other,Negative
1083,i didn t got the order and i kept calling the delivery guy and he was not receiving my call ,service,Negative
1084,i don t know what is wrong with the delivery boy literally pathetic service,service,Negative
1085,how ridiculous and irresponsible ,other,Negative
1086, no one is a royal guest     food   2 7 ambiance   3 7 service   3 7 vfm  2 7  i unfortunately took my guests to khaan saab and learnt a life lesson   never try experiement new places when you have guests       we ordered mutton galauti kebab  mirchi chicken tikka and paneer tikka for starters   what place doesn t have mint chutney when you serve kebabs    ,quality,Negative
1087,yes  they dint have mint chutney   and galauti kebab was so difficult to finish    pata soup was no better too  ,quality,Negative
1088,in main course we ordered tikka biryani and veg biryani   and they dint have mirchi ka salan in this   tikka biryani was sweet on taste  ,quality,Negative
1089,it actually tasted like drumstick curry to me  ,quality,Negative
1090,taste was pathetic    i didn t like it    ,quality,Negative
1091,i m forced to order heineken or bira ,service,Negative
1092,no taste waste of money,quality,Negative
1093,the food was rancid and didn t look well prepared or freshly made ,quality,Negative
1094,it was hard as a rock that kofta ,quality,Negative
1095,overall super weird punjabi food ,quality,Negative
1096,easy on the pocket but it s not something i would try again,other,Negative
1097,it was very clear that the tables just needed plates to be arranged ,service,Negative
1098,neither proper ac chambers nor proper cooling ,environment,Negative
1099,by this time i was already wondering if they thought we re idiots and they can just make us wait and treat however they want  i just realised that it was true ,service,Negative
1100,after soup and buttermilk starters were served painfully slow ,service,Negative
1101,they wasted my precious time and this isn t what a customer wants ,service,Negative
1102,we had to school the waiters regarding their service  then we spoke to their leader i guess  and he also gave the same old typical answer  sorry ,service,Negative
1103,starters  i found the starters to be normal good in quality ,quality,Positive
1104,it wasn t impressive ,quality,Neutral
1105,it was fine ,quality,Positive
1106,2 ,quality,Positive
1107,3 ,service,Negative
1108,4 ,quality,Positive
1109,ajwani paneer tikka  it was very good in taste ,quality,Positive
1110,it was just good ,quality,Positive
1111,we had ordered for non spicy food but what they served us was tasteless spicy food ,service,Negative
1112,the ordered food was not good spoilt ,quality,Negative
1113,we ordered crisp noodles  shrimps  with sweet and sour sauce which was obviously a wrong choice ,quality,Negative
1114,crispy noodles is never a right choice  at least for me  wherever you go and sweet n sour soup with shrimps just made it worse ,quality,Negative
1115,i am a seafood lover and the quantity and size of shrimps didn t justify its price ,quality,Negative
1116,next was standing pomfret dish in schezwan sauce   which turned out to be a disappointment ,quality,Negative
1117,it was not good at all ,quality,Negative
1118,food is too spicy schezwan chicken fried rice that we cannot keep it in mouth ,quality,Negative
1119,had to throw all the food ,quality,Negative
1120,waste of money ,other,Negative
1121,i had the worst experience with the food and the service food is not great and the service took so long the place is not totally air conditioned and the staff is a bit rude to customers ,quality,Negative
1122,i had the worst experience with the food and the service food is not great and the service took so long the place is not totally air conditioned and the staff is a bit rude to customers ,environment,Negative
1123,i had the worst experience with the food and the service food is not great and the service took so long the place is not totally air conditioned and the staff is a bit rude to customers ,service,Negative
1124,absolutely no variety either for the main course and even the deserts were disappointing ,quality,Negative
1125,all in all a pretty disappointing experience that felt heavy on the pocket ,other,Negative
1126,this is the quantity of chicken garlic fried rice     everything we ordered is of so less quantity    ,quality,Negative
1127,terrible i hate to spend 800 and still be hungry    total embezzel,other,Negative
1128,ordered family pack but delivered regular biryani,service,Negative
1129,we didn t receive what we ordered ,service,Negative
1130,it was cold an tasted b d     what do you do for that    ,quality,Negative
1131,delivery boy was rude and talked rubbish things  ,service,Negative
1132,also zomato representative confirm that it will get credited to zomato wallet but still it has not happened,service,Negative
1133,very worst taste i have ever had in my life ,quality,Negative
1134,don t want to refer ,other,Negative
1135,no raita no dry fruits  no onions,quality,Negative
1136,worst experience especially at gachibowli branch no proper management ,service,Negative
1137,food was not cooked properly ,quality,Negative
1138,food quality was worst and quantity was less and prices were huge ,price,Negative
1139,food quality was worst and quantity was less and prices were huge ,quality,Negative
1140,the worst food i ever had  ,quality,Negative
1141,starters and main course is so worst to taste and you can eat julabjamun pieces by searching them in the water  ,quality,Negative
1142,they took 2 hours to get a starter ,service,Negative
1143,no lights and he refused to turn on lights ,service,Negative
1144,i will not go there again,other,Negative
1145,can t review it as the order and the delivery are not matching  ,service,Negative
1146,disappointed  ,other,Negative
1147,their delivery sucks their customer service has dropped pathetic customer service very rude delivery guys who have no manners how to speak to women i will never order from kfc again really if you continue to misbehave   ill treat your customers you will pay for it   you will be chucked out of india like mac donalds okay never threaten your customers you guys are disgusting will never order from you again   i hope you shut down because you do not respect your customers any more pathetic   disgusted with kfc ,service,Negative
1148,waste of money and worst taste i have ever tasted and very disappointed with zomato again   ,quality,Negative
1149,momos were cold ,quality,Negative
1150,too much cheese and also it smelled stale,quality,Negative
1151,what started out with cold barbeque  bad grills turned out to worst ,quality,Negative
1152,i have been to this place for random dinner with friends and it was the most stupid decision  ,other,Negative
1153,the place is the perfect example of mismanagement ,service,Negative
1154,the food was also pathetic ,quality,Negative
1155,we have ordered sambhar rice after a lot of disappointment thinking that atleast it will come on time and will be good in taste but i guess they were checking our patience and it took almost 20 25mins for us to get that ,quality,Negative
1156,we have ordered sambhar rice after a lot of disappointment thinking that atleast it will come on time and will be good in taste but i guess they were checking our patience and it took almost 20 25mins for us to get that ,service,Negative
1157,they were so slow even in providing bill and on top of that they have added service charge without even our notice ,price,Negative
1158,they were so slow even in providing bill and on top of that they have added service charge without even our notice ,service,Negative
1159,i have given two stars only because the manager   owner  not sure  was really very courteous and he has asked not to pay by acknowledging our complaints ,service,Negative
1160,food is ok type  not that tasty  mayonese is sweet       wtf  ,quality,Neutral
1161,    ,quality,Neutral
1162,  mutton is not tasty ,quality,Neutral
1163,chicken starter was crispy   reason for 2     ,quality,Negative
1164,i didn t like the desert also ,other,Negative
1165,really average  had buffet lunch    ,quality,Neutral
1166,served everything on table   ,service,Neutral
1167,nothing great about it   really average interiors   food was just not bad   but just above bad   passing marks u could say in terms of food   ambience and money   wouldn t recommend it and big no for a 2nd time  tried and forgotten  ,price,Neutral
1168,nothing great about it   really average interiors   food was just not bad   but just above bad   passing marks u could say in terms of food   ambience and money   wouldn t recommend it and big no for a 2nd time  tried and forgotten  ,quality,Negative
1169,nothing great about it   really average interiors   food was just not bad   but just above bad   passing marks u could say in terms of food   ambience and money   wouldn t recommend it and big no for a 2nd time  tried and forgotten  ,environment,Neutral
1170,the food is good ,quality,Positive
1171,we ordered chicken manchow soup  apolo fish as starters and alfredo pasta as the main course ,quality,Neutral
1172,butt we found a cockroach on the table while we were having our dinner ,quality,Negative
1173,so  2 star as it really freaked me out ,other,Negative
1174,ordered noodles and received without a fork    how am i supposed to eat  ,service,Negative
1175,went with our friends for a casual lunch on friday as usual it was soo rush and waiters and staff over there are in hurry to serve us fast and want to throw us out of the restaurant   yeahh it s fine we can understand but there should be a polite way to convey the same it should not be like ur time is done  leave now  leave now    that is a negative of the management over there ,service,Negative
1176,coming to the food for veg  the starters are only 3    potato  crispy corn and mushroom and on the grill pineapple and paneer ,quality,Neutral
1177,not a worthy starters for veg for non veg   starters were good  there are all varieties of non vegetarian on grill and served in plates main course   not at all worthy   and not tasty    only one rice item  tasteless and curries and other items were not tasty salads were good chat items not worthy deserts are good  3 desi sweets and as usual pastries cakes and pudding and lastly the people working over there forces us to give 5 rating on zomato even before we complete our lunch and leave out ,quality,Negative
1178,not a worthy starters for veg for non veg   starters were good  there are all varieties of non vegetarian on grill and served in plates main course   not at all worthy   and not tasty    only one rice item  tasteless and curries and other items were not tasty salads were good chat items not worthy deserts are good  3 desi sweets and as usual pastries cakes and pudding and lastly the people working over there forces us to give 5 rating on zomato even before we complete our lunch and leave out ,service,Negative
1179,they want us to give the rating infront of them finally ambience 3 5 food 2 5 service 4 5,service,Negative
1180,hi this time  we are not satisfied in flechazo  ,quality,Negative
1181,starters are not much hot   most of them are room temparature or little warm   we have asked for fish starter   we got only two pieces   bbq wings are not good   tooo hard    mango chilli prawns not much tasty    only maida coating smell   no flavour nothing    we are not happy with flechazo  gachibowli   ,quality,Negative
1182,i had a confusion to eat it or gulp it ,quality,Negative
1183,however i gave 2   for the browny,quality,Neutral
1184,very spicy and vada is uncooked   disappointing,quality,Negative
1185,the taste and quality of the food here is on a slippery slope ,quality,Negative
1186,i used to love the boston creme donut ,quality,Positive
1187,what once used to have a juicy  creamy filling is now a miser s dab ,quality,Negative
1188,burgers have also lost their taste and are mostly insincere ,quality,Negative
1189,firstly the seeating space is less and the music for garden seating is really bad ,environment,Negative
1190,some of the items in food menu were good but my mood was dampened by the extremely bad service ,quality,Positive
1191,some of the items in food menu were good but my mood was dampened by the extremely bad service ,service,Negative
1192,this not a place to spend more time or chill ,environment,Negative
1193,i have been here many times ,other,Positive
1194,i like the food ,quality,Positive
1195,but never order food online you ll get very cold food  inspite of instructions  to name a few samosa s  veg biryani ,service,Negative
1196,etc   you ll definitely regret ,other,Positive
1197,so less quantity at so high rate,price,Negative
1198,the food here was ok ,quality,Neutral
1199,but the service was worst ever ,service,Negative
1200,if you have 3 4hrs free time to spend then come here ,service,Negative
1201,the service is slow as sloth ,service,Negative
1202,we ordered starters got it after 30min ,service,Positive
1203,then got lunch after an hour ,service,Negative
1204,i guess they forget orders after you give them  you have to remind them atleast twice or thrice to get it ,service,Negative
1205,pathetic and horrible experience ambience and hospitality 1 food 1 chairs and tables were broken food is cold and tasteless buffet arrangement is not good could be a bit more spacious,quality,Negative
1206,pathetic and horrible experience ambience and hospitality 1 food 1 chairs and tables were broken food is cold and tasteless buffet arrangement is not good could be a bit more spacious,environment,Negative
1207,the bar ambiance is good ,environment,Positive
1208,we ordered chilli broccoli and that had mix of broccoli and cauliflower ,quality,Neutral
1209,broccoli was tasty  ,quality,Positive
1210,it is at the outer area so there was problem for booking a cab also at 8 30 pm while returning,environment,Negative
1211,rotis are not delivered hot  not satisfied with ordered ,service,Negative
1212,hi tech bawarchi food is not pretty well ,quality,Negative
1213,masala not there and chicken also very small piece and quantity of rice is also low following this raita also very low quantity   not satisfyable if you feel hungry   ,quality,Negative
1214,have been here in the past too but experience this time was not at all good ,other,Negative
1215,food was not good especially the ones that were refilled ,quality,Negative
1216,breads were too dense  desserts too sweet  chicken overcooked ,quality,Negative
1217,most disappointing was the service which is not at all expected from a brand like hyatt ,service,Negative
1218,very slow service with a i don t care attitude ,service,Negative
1219,had to wait very long for some of the requests ,service,Negative
1220,the only good thing was probably the decor ,environment,Positive
1221,and no one will come back only for that ,other,Negative
1222,extremely disappointed with the food taste we have ordered kodi roast which was average when compared to godavari royyala vepudu we usually expect dry item when it is named as vepudu but we got gravy and semi gravy items same experience with two more items kakathiya mamsam vepudu biryani and kodi vepudu biryani  ,quality,Negative
1223,even the prices are extremely high if taste is better no one would be bothered about price  ,price,Negative
1224,even the prices are extremely high if taste is better no one would be bothered about price  ,quality,Negative
1225,after going through the amazing reviews i tried red velvet cupcakes ,quality,Neutral
1226,honestly it s not worth at all ,quality,Negative
1227,the frosting on cupcake wasn t fresh ,quality,Negative
1228,it tasted below average cake ,quality,Negative
1229,not worth the money ,price,Negative
1230,the chicken was hard inside  not indicative of fresh chicken   the prawns were sweet and the dimsums had thick coatings ,quality,Negative
1231,i did not enjoy my time at shanghai chef ,other,Negative
1232,really small portions and avg tatse ,quality,Negative
1233,there are tons of places much better ,other,Negative
1234,nice ambience  wonderful service but not so wonderful food ,quality,Negative
1235,nice ambience  wonderful service but not so wonderful food ,environment,Positive
1236,nice ambience  wonderful service but not so wonderful food ,service,Positive
1237,ordered the thai green curry  was just a watery mess  probably the worst ever had ,quality,Negative
1238,kung pao chicken was overly sweet  the noodles were just tossed around in a few eggs and probably 2 pieces of chicken ,quality,Negative
1239,the rice was very dry giving us an overall average experience ,quality,Negative
1240,first of all  it is on the expensive side ,price,Negative
1241,second  the quantity wasn t good  third it was spicy ,quality,Negative
1242,seems like they are spending more on fancy packaging than the actual food ,quality,Negative
1243,seems like they are spending more on fancy packaging than the actual food ,service,Positive
1244,nan was bit ok but chana was worthless ,quality,Negative
1245,it s raw and cooked in shahi paneer gravy ,quality,Negative
1246,will never order food from here,other,Negative
1247,very limited options for starter   3 non veg 2 chicken and 1 fish  and 3 veg 2 potato and 1 paneer  ,quality,Negative
1248,they were serving the starter cold ,quality,Negative
1249,the tawa fish was over spicy and they didn t prepare a lesser spicy version of that even after our request ,price,Negative
1250,the tawa fish was over spicy and they didn t prepare a lesser spicy version of that even after our request ,service,Negative
1251,only chicken wings was good ,quality,Positive
1252,main course was kind of good ,quality,Positive
1253,egg fried rice and veg noodles were good ,quality,Positive
1254,chicken biriyani was stale ,quality,Negative
1255,dessert was good ,quality,Positive
1256,chocolate cake  gulaab jamoon and ice cream were good ,quality,Positive
1257,semiya kheer was horrible ,quality,Negative
1258,should say i m disappointed  looks like the quality is not the same as before  even the price is a bit high compared to other places with similar taste ,price,Negative
1259,should say i m disappointed  looks like the quality is not the same as before  even the price is a bit high compared to other places with similar taste ,quality,Negative
1260,i am sorry to say this but nothing  i mean nothing in this place was exceptionally good ,other,Negative
1261,from food  to taste  to hygiene  to the supporting staff  to the ambience   nothing just made me food good and welcomed ,quality,Negative
1262,from food  to taste  to hygiene  to the supporting staff  to the ambience   nothing just made me food good and welcomed ,environment,Negative
1263,from food  to taste  to hygiene  to the supporting staff  to the ambience   nothing just made me food good and welcomed ,service,Negative
1264,we were a group of people who went there and none of us were happy with the food  or the food spread  or the taste specially ,quality,Negative
1265,i remember nothing from what i ate as extraordinarily good ,quality,Neutral
1266,there has been absolutely no work done on the ambience to look pretty or attractive ,environment,Negative
1267,the place did not even smell good ,environment,Negative
1268,i would never visit this place ,other,Negative
1269,food tastes good however had bad experience with freshness of food being served ,quality,Neutral
1270,didn t like the quality ,quality,Negative
1271,seems like it s been stored,quality,Negative
1272,not warm,quality,Negative
1273,somedays it s decent but somedays it s so not good ,quality,Neutral
1274,yesterday we ordered fish paella and the rice was tasteless just dipped in chilli water ,quality,Negative
1275,i love spicy food but not like this ,quality,Negative
1276,we also ordered lamb bolognese and for both dishes it looks like they recycled the same generic masala mixture ,quality,Negative
1277,it was so pungent ,quality,Negative
1278,donuts were not fresh ,quality,Negative
1279,first time the donut was good but second time i got some stone in the donut which completly spoiled my taste ,quality,Negative
1280,not that great taste it quality id say,quality,Negative
1281,dal was really bad and chinese veg manchurian was actually pieces taken out from gravy,quality,Negative
1282,the foods were average i will rate the food a 3 out of 5 ,quality,Neutral
1283,now come to the service   we ordered 3 butter chicken but they gave us 1  so had to wait for another 15 20mins to get the other butter chicken  please do not compare the taste of butter chicken if youre from north india   the restaurant looks good from the outside  but inside house flies will accompany you with your food and friends  ,quality,Negative
1284,now come to the service   we ordered 3 butter chicken but they gave us 1  so had to wait for another 15 20mins to get the other butter chicken  please do not compare the taste of butter chicken if youre from north india   the restaurant looks good from the outside  but inside house flies will accompany you with your food and friends  ,service,Negative
1285,chicken was okayish ,quality,Neutral
1286,paneer was nothing but onion ,quality,Negative
1287,veg is a total no no ,quality,Negative
1288,on a side note  who gives out mayo with momos  ,quality,Negative
1289,very pocket friendly though ,price,Positive
1290,the food and ambience are average  ,quality,Neutral
1291,the food and ambience are average  ,environment,Neutral
1292,in starters egg fish and chicken are sort of better  ,quality,Positive
1293,corn and all other veg ingredients are not up to what you expect it to be and moreover the main coarse is the worst to have  ,quality,Negative
1294,the desserts are decent and the fruits are the best  ,quality,Positive
1295,i would not recommend a buffet here because the money you spent here goes down the drain think before you go ,other,Negative
1296,the moctails they serves was the worst  ,quality,Negative
1297,ambience wise it s the best rooftop place one could possibly ask for ,environment,Positive
1298,the behaviour of staff however is highly disappointing ,service,Negative
1299,they have this bad attitude as though you re blessed to be dining there  now that certainly isn t accomodating  is it  ,service,Negative
1300,in fact  it ruined the entire experience despite the place being amazing and food being great ,quality,Positive
1301,in fact  it ruined the entire experience despite the place being amazing and food being great ,environment,Positive
1302,i guess it really is important to keep tabs on whom you re hiring ,service,Negative
1303,the momos tasted old and chicken tasted lemony ,quality,Negative
